label,sentence
neutral,दिपावली विशेष सिधाकुरा जनतासँगकवि अर्जुन पराजुली र गजलकार प्रदिप रोदन सँग यसपालिको तिहार विशेष कार्यक्रम पर्सि आइतबार राति ८५० मा हेर्ने प्रयास गर्नु होला
positive,"नवीन्द्र जी, तपाईं साच्चै नै उदाहरणीय राजनितीज्ञ हुनुहुन्छ सदैव नागरिकसँग हातोमालो गरेको देखेको छु"
neutral,लोभ लाग्यो माइ लर्ड
neutral,भोलिको कार्यक्रम अलि फरक छपुर्व पत्रकार तथा साझा पार्टीका संयोजक रवीन्द्र मिश्रसंग सिधाकुरा  दशै विशेष कुराकानी मंगलबार राति ८५० बजे  टेलिभिजनमा
positive,"सबको जय होस्,सम्पुर्णमा मंगलमय शुभकामना"
neutral,के हुदैछ यो देशमा???
positive,विभिन्न माध्यमबाट जन्म दिनको शुभकामना दिनु हुने सम्पुर्ण महानुभावहरुमा धेरै धेरै धन्यवाद चढाउदछुयो माया र सद्भावले धेरै उर्जा थपिदिएको छ सबैको जय होस्
negative,अर्काको भारी बोकेर प्राण धान्ने यी श्रमिकलाई रुवाएको पाप को भारी अब कस्ले बोक्ने?
negative,"कहाँ भेट्नु भो? मेरो पेजमा कि अन्त कतै? बुझ्नु सुझ्नु पर्दैन ??? सामाजिक संजाल चलाउनपनि अलिकति लायक हुनु पर्छ ब्रदर  हतार नगरी, टाइम दिएर,  पत्ता लगाएर  लेख्नु होला है"
negative,हावा कुरा गर्ने?? कहाँ गराए त्यस्तो भोटिङ  फेक कुनै पोस्ट होला पत्ता लगाउनुस र  भन्नुस्  जानुस्
negative,"स्वाब नै नदिएको मान्छेको  रिपोर्ट नेगेटिभ ?? बिस्तृत,अहिले  राति ८५० बजे   मा"
neutral,देह संगै बिचारपनि कसैको बोझ नहोस्
negative,एक रिपोर्टमा गलत सन्दर्भ सामग्री प्रशारण भएकोमा न्युज २४ टेलिभिजनको क्षमा याचना
positive,प्रिय राष्ट्रकवि ज्युको स्वर्गमा वास होस्तपाईंका कालजयी कृतिहरुले तपाईंलाई युगौ युग बचाइरहने छन् तपाइँलाई हर युगले सम्झने छ हार्दिक श्रद्धाञ्जली
positive,आजको कार्यक्रम चाहिँ  क्वारिन्टिन बाट    टेस्टका लागि हाम्रो टिमको स्वाब संकलन भएको छ रेपोर्ट नेगेटिभ आउँछ भन्ने आशामा छौ सातै प्रदेशका दर्शकहरुलाई धन्यवाद
positive,ओहो  यो तस्वीरले बाल्यकालको सम्झना गरायोयो टावर चड्न डराए देखि चड्न सकेको गौरव सम्मका दिनको सम्झना आयोगज्जब
positive,"धन्यवाद प्रदेश नम्बर ५,अबको यात्रा कर्णाली प्रदेशको"
