label,sentence
negative, देशका टाउकेहरूकै आँखा अगाडि राजधानीलाई प्राणवायु दिने र लोकतन्त्रको ऐतिहासिक धरोहर रहेको खुलामन्चको नांगो लुट हाम्रो राज्यसंय…
neutral,दल आवद्ध पत्रकार संगठन भङ्ग गरियोस्
positive,उचित र विश्वसनीय जवाफको पर्खाइमा  
negative,कि सांग्रिलाले उल्लु बनाएकाे हाे 
negative,यी नै उपद्रो यादवका भरौटे हरुले मन्च सन्च जलाएर स्…
positive,शुभकामना
neutral, कि त पैसाको कि यौवन को पछि लाग्ने छन पैसा भए सकिएको जोबनको पछि भाग्ने छ्न पैसालाई नै जंजिर बनाई बाधिएका छन आफूपैसा सुघाए त…
negative,            हैट भुमाफिया नै बनाईदिनु भएछ त सर्😜😜😂
negative,   यस्ता डाकालाई अगाडि भेटेभने गाेरु कुटेझै म अाफै कुट्छु 
neutral, देशमा बलियो गैर-कम्युनिष्ट गैर-कांग्रेस नयाँ समाजवादी ध्रुवीकरणको प्रक्रिया अघि बढाउन नयाँ शक्ति र संसफो वीच पार्टी एकीकरण प्र…
neutral,  हो नि त
positive, यहि कुरा सबैले सडक देखि सदन सम्म ऊठाउ रबिन्द्र सर लाई हाम्रो साथ र समर्थन छ
negative,नोटयसअघि एउटा गुनासोबारे  ले केही पनि नगरेकोले उजुरी गर्न र फोटो खिचेर पोस्ट गर्न मन लागेन
neutral, साझा सम्पत्ति चोर्नेलाई फासिको ब्यबस्था गरियो कि गरिएन सम्सदबाट कानुन बनाउदै गर्दा 
positive, शुभकामना
negative, झापाका राजेन्द्र सिटौला भन्छन्भएभरको सम्पत्ति सबै सकियो
negative,प्रधानमन्त्रि तथा मन्त्रिपरिषद्को कार्यालयको सुचना प्रविधि शाखाले ले युजर दिदैन
negative," आफूलाई जन्म दिने आमा देख्न सकिन कर्मदिने आमाको मन कतै बुझ्न सकिन आमा तिम्ले छाडि जादा,टुहुरो छु यहाँ म,हजुर बिना अरुको…"
positive, भा ज पा पनि मिसाउने कि कसो डाक्टर साप
positive,     भनाईत स्वगत योग्य हो कता कता मौखिन आदेशमा काम भएको पो हो कि 
positive,धन्यबाद 
negative,  पढाइ लेखाइ शुन्य… गोबर गणेशहरुको प्रायोरिटी नै… भजमन नारायाण हो दाजु… अतत१५ दिने कार्यक्रम नै आए पनि … यी हाजिर जनाइ… दार्जिलिङ घुम्न जान्छ्न… नदेख्या हो र… 
negative,कार्यक्रम हेलो सरकार हो कि  को बन्न चाहन्छ मुर्खपती हो  उत्तर काँ बाट पाइन्छ    
negative,  कलाकार रुद्रराज पाण्डेले संसारबाट विदा लिनु भएछ 
positive, आहा
positive, ठीक भन्नुभयो; अहिलेको आवश्यकता यही हो
positive,मुटु डाक्टरलाई मेरो पनि समर्थन आवश्यक जानकारी उपलब्ध गराइयोस्
neutral," म त नेपाल सरकारको ( जनताको सरकार ) नीति तथा कार्यक्रम सुन्न संसदमा उपस्थित भएको ,यहाँ त राष्ट्रपतिज्यू बाट महामहिम ज्…"
negative,के देशलाई सधैँ सतीले सरापेको भन्दै चित्त बुझाउनु पर्ने हो हामीले
positive,हजुरहरूको राजनीतिक योगदान अझ जनपक्षीय होस्
positive,"संघीयता अर्थात् लोकतन्त्र र राज्यको अग्रगामी पुनर्संरचना, देशमा सदाचार र सुशासन कायम गर्ने, देशलाई आर्थिक विकासमा लैजान समृद्धि र समग्र गन्तव्य समाजवादडा. बाबुराम भट्टराई "
negative, गणतन्त्र मा कसै को निजि सरकार हुँदैन निति र कार्यक्रम लेख्दा  जाबो एउटा शब्दावलि चयन गर्न नसक्ने मुला हरु ले समबृद्धि ल्याउने रे यी यी यील्याँउछस समबृद्धि
negative," साम्यबादी सोँचको भुत उत्रीयो डाड साप ल बधाई छ , हामी नी घुस्थेम् तर निर्दोष हज्जारौ दाजुभाईको हत्या आरोप छ ,हजुर्लाई एक हजार गाई दान गर्नुस् "
negative,र बाँकी कुर्सी खालीब…
negative," बालुवाटारको सरकारि जग्गा काण्डमा ""शेरबहादुर देउवा""को पनि नाम जोडियेछ यो सँगै ""बालुवाटार जग्गा बिबाद पनि ""वाइडबडि काण्ड"" हुने…"
neutral," ❤️👉️यदि कसै सङ मन दुखेको छ भने,, सम्बन्धित व्यक्ति सङ नै त्यसकुराको बारेमा छलफल गर्नु  तर अरु  कुनै पनि काम गरेर उस्लाइ आघात…"
neutral," 'रातो झिल्को'को नयाँ अंक, कार्ल मार्क्सको द्विशतवार्षिकी विशेषांक, सार्वजनिकीकरण कार्यक्रमतिर भेटौं है "
positive,यति सेवा नभएको समयको क्षतिपुर्ती पनि दिनु पर्यो सेवा ग्राहलाई 
neutral, जिन्दगीमा एउटा पाठ पढ्न जरुरी छउठ्न जान्ने हुनलाई लड्न जरुरी छभ्यागुताको लागि खेतको आलि क्षितिज होदुरदराज हेर्न पहा…
neutral,लैनचौरतिरको हन्डी खाएर लेख्नेहरू हरेकपल्ट विकल्पको खोजीमा हुन्छन् 
negative, ‘कम-रेड’हरूमाथि कति सटीक ब्यंग्य
negative, अति भयो अति भयो अति भयो अति भयो अति भयो अति भयो अति भयो अति भयो अति भयो अति भयो अति भयो …
positive,अन्ततोगत्व   कमेडीलाई नयाँ पात्र भेटियो
negative," ट्याक्सी वालाहरुलाई छोई नसक्नु भो पाट्न ढोकाबाट थापाथली पुलसम्म जान २५०माग्छन, १जनाले जान्न भनेपछी सबै वरपर…"
negative," धेरै युट्युबेहरु :- सिन्धुलीको माइजू-भाञ्जा काण्डको अपार सफलता पछि, पथरीको रिना बस्नेतलाई मृत्यु पछि भाइरल बनाउदै"
positive,आफ्नै देशमा रोजगार सृजना गर्ने हो भने मात्र देश बिकास हुन्छ 
neutral," ल हेर्नुस त यस्ता एन्जियोमा जागिर पाउन क्रिश्चियन परिवारमा जन्मेको, क्रिश्चियन धर्म मानेको र क्रिश्चियन पढेकै हुनुपर्ने भ…"
negative,यो प्रचलन ले कुनै नेपालका पार्टीलाई फाइदा गर्दैन 
negative, बिपक्ष सङ असहमत हुनेहरुले मान्छे नगन्ने र गोबरवाला दिमाग  भएकाहरुको हर्कत हेर्दा लाग्छ कतै गिनिज बुकमा त नाउ लेखाउदैनन😋😁😂
positive,देश हाम्रै जीवनकालमा बदल्नु छ…
neutral,किनभने प्रधानमन्त्री राष्ट्रपतिद्वारा नियुक्त हुन्छ
neutral,दल खोलेको भए पो अभियान हुन्छ त 
negative, धनुषा हंशपुर नगरपालिका वार्ड न  मा नेकपाका कार्यकर्ता राम बाहदुर भण्डारीलाई  राजपाका कार्यकर्ता बाट निर्घात कुटपिटजिप्र…
negative,"गुठीको १७ सय रोपनी अतिक्रमण, गुठी संस्थान भन्छ- २०६३ पछि अतिक्रमण झन् बढ्यो "
negative,दिनहु बढेको गर्मीले दैनिकिमा असर गरेको त छदैछ नै त्यो भन्दा पनि बढी हरेक छिन छिनमा भईरहने लोडसेडिङले सबैलाइ सास्ती बेहोर्नुपरेको छ 
positive, आमाको बारेमा जति लेखेपनी सकिन्न आफ्नो हरेक खुसी हरु लाई बलिदान दिई सन्तान हुर्काउन अगाडि बढ्नु हुन्छ
negative,यस्तो कर्मचारीतन्त्रले कहिले सम्वृदि हासिल होला 
neutral, यी भएकै प्रदेश सम्मुनत शान्ति समृद्धि सहयोग भाइचारा कायम राख्न सक्ने संक्षमता कायम गरेर देखाउन सके सच्चै समाजबादि हो भन्ने परीक्षा पास गर्ला कि  
negative,   तुरुन्त कार्बाही गरियोस यस्ता ब्याक्ती लाइ
negative, आज कोटेश्वरमा शंकास्पद बस्तु भेटिँदा बम भन्ठानेर हेर्नेको भीड देखेको भए डाक्टर साहेव पनि पुर्पुरोमा हात राखेर आफ्नो कार्यक्रम स्थलमा संकास्पद बस्तु किन राखिएनछ भनेर पछुतो मान्नुहुन्थ्यो होला
negative, ‘कम-रेड’हरूमाथि कति सटीक ब्यंग्य
neutral, प्रधानमन्त्री केपि ओलि ज्यु 
negative," देशमा कम्युनिस्टको सरकार आयो भने अधिनायकवाद आउँछ,बोल्न पाइदैन,रुन हाँस्न पाइदैन भनेर चुनावताका काङ्ग्रेसले एउटा अस्त्र फ्…"
negative,"संसदीय मर्यादा कायम गर भन्दै..  जवाफ दिन रोस्टम पुगेका प्रधानमन्त्रीलाई बोल्न नदिइ नारावाजी गर्ने,असभ्य शब्द प्रयोग गर्ने , हैन कस्तोलाई चाँही संसदीय मर्यादा भनिन्छ हो मान्य  र  ज्यू "
negative, दुनियाँमा सबैभन्दा खत्रा यिनै भर नभएको समुह हुन हामी नेपाली निमुखा जनताको निमित्त😏😏
negative,केहो यस्तो हजुर सुरक्षा जताबाट पनि पिसिने जनता नै हुन् त
neutral,"  स्वादे तिग्रे र जिब्रेसंग कुरा मिलेर मात्रै हुँदैन , ढुंगामाटो, हावापानी र बनस्पति मध्य कुनै एकसंग विशेष मेलखाने हुनुपर्दछ "
neutral, कृपया  भुपु अर्थमन्त्री भको नाताले यती बुझै दिनुस् ११ प्रदेश देशले कसरी धान्छ
positive, शुभ पल सम्झना मनैमाहार्दिक आभार प्रकट् गर्न चाहेँ🤝🙏
negative,उता स्कुलेचाहिँ खाडितिर बालुवा चाल्दै…
negative,"पाहाड खनेर,योजना बेगर वातावरण सखाप पारेको कुरा र हवाई जहाज र हेलिकप्टर चढ्ने नेताले नै बढी देखेका होलानयस विनाश र भ्रष्टाचारलाई रोक्न किन पहल भइरहेकोको छैन"
positive,ठूलो संघर्षपछि प्राप्त हाम्रो लोकतन्त्रले अंगिकार गरेको धर्मनिरपेक्षतालाई सबैले मन वचन कर्मले पालना गरौं
neutral,  आफैलाई भन्दै हुनुहुन्छ माथीको कुरा
positive,   सुचनाको लागि धन्यवाद 
negative,"  बहस हुनुपर्ने नीति तथा कार्यक्रममा हो तर यहाँ मेरो सरकार र तेरो सरकार शब्द ठिक भएन भन्दै छन, यसैले होला समाजको औकात अनुसार कै नेताहरु हुन्छन भनेको"
positive,"         गुनासो दर्ता गर्नुभएकोमा धन्यवादगुनासो/उजुरीको विवरण यस् प्रकार छ दर्ता नम्बर -- , दर्ता मिति-- मार्फत तपाईको गुनासो आवश्यक कारवाहीको लागि रक्षा मन्त्रालयमा पत्रचार गरेका छाै "
negative, उहाँलाई पैसा आएको थाहा थिएन होला
negative, यो गर्मीमा  ले ट्राफिकहरुलाई पानीको ब्यवस्था किन गर्न सक्दैनचोकचोकमा ट्राफिक प्रहरीहरुले मिनरल वाटर बोक्…
negative, आउँछ दिक्क लाग्दो 😂😂😂  गर्दिन मत नचिनेकाकोत 🤣🤣
negative,  लाज लायो मलाई मेरो सरकार भन्या एक ब्यक्ति को हो 
positive,स्याङ्जाका मित्र गंगाधर सुवेदीलाई पार्टीमा स्वागत
neutral,चालक स्कुटर छोडेर फ़रार भएकाले स्कुटर प्रहरी हिरासतमा थियोसात…
positive,  हाहा 😃
neutral,हुलाकी राजमार्ग आयोजना निर्देशनालय पुगी आ. निर्देशक ई. अशोक तिवारीसँग यी कुराहरुको जानकारी लिनु हुँदै जनमत पार्टीका अध्यक्ष डा. सीके राउत
negative, ‘कम-रेड’हरूमाथि कति सटीक ब्यंग्य
positive,अनुगमन गरि कार्बाही होस
neutral, लौ अाज फलो शुक्रबार…
positive, तपाईको यो ट्विटले झन्नै भावुक बनायो
negative,"जनप्रतिनिधि अरुलाई त्यस्तो तालिममा प्राय संग्लन गराउदैनन्,चाहदैनन्जय होस्‌"
positive,"""नेपालीसँग विवाह गर्ने पुरूष या महिला जो भए पनि उनीहरूले नेपाली नागरिकता पाउनुअगाडि सात वर्ष नेपालमा स्थाई बसोबास गरेको हुनु पर्छ"" भन्ने लगायत नागरिकतासम्वन्धी विविध विवादित मुद्दामा साझा पार्टीको धारणा"
negative, ग'न दाइ  देश दुनियाँ घुमेर रितिथिति परम्परा मर्यादा सिक्नु भयाे हाेला भनेकाे त उहीँ त्रिचन्द्र शैलीबाट माथि उठ…
negative,"कृषि तथा बन बिज्ञान बिश्वविद्यालय चितवनका  पदाधिकारीको लापरवाही का कारण त्याहँको केन्द्रीय क्याम्पस लगायत सबै क्याम्पस बन्द छन, सरकार र शिक्षा मन्त्रालयले तत्कालै हस्तक्षेप गरी बन्द खुलाउन अनुरोध छ"
negative,   उहाँ बा २ ख ९७३६ हुनुहुन्छउहाँले कलङ्की-कौशलटार रुटमा यसरी नै प्रदुषण गर्नु हुन्छ
positive, बाबुरामलाई सम्पत्तीको त्यस्तो मोह हुन्थ्यो भने बुढा यति बेला अक्सफोर्डमा मोटो रकममा पढाई राखेका हुने थिए यस्ता स्वाँठहरूको गाली खाँदै आफ्नै माटोमा बस्दैनथे 
neutral, हेर
positive, सरकार राष्ट्रपतिको पनि त हो तिम्रा बाउको मात्र होर
positive, उहाहरुलाई फ्लो गर्नुस ल राम्रो राम्रो टुइट पढ्न पाउनु हुने छ…
positive, शुभ बिहानि हजुर 🙏🙏🍵
negative, ई. श्याम सुन्दर मण्डलले सुनसरीको भोक्राहा गा.पा.मा भइरहेको अनियमितता रोक्न खोज्दा र भ्रष्टाचार र बेथितिको प्रमाण सार्वजनिक ग…
negative,केक भनेर गोबर लाई नखाउ 
positive," धनी, गरिब, सत्तासिन, सर्वसाधरण जनता सबैले वादी समुदायका यी बालकलाई सुनौँ   …"
negative,सबै हिजैकै हुन पर्छ र
negative,'फर्किएर हेर्न बिर्सिएछ' भन्ने तर्क चै अलि पचेन के बोरो
neutral,"  खोज पत्रकारिताभन्दा पुरानो पेसा हो, खोज साहित्यकारिता"
negative," हो सरकार उनिहरुकै हो हामी जनताको हैन भन्ने हामीहरुलाई थाहा थियोप्रधानमन्त्री कार्यालयले प्रधानमन्त्री को क्षेत्रमा योजना पार्न योजना आयोगलाई आधिकारीक पत्र पठाउनु,अनि उनले मेरो सरकार भन्नु ले अब त प्रमाणित नै भयोजनताको सरकार बनेकै छैन"
positive,  शुभ दिन रहोस यहॉको पनी
negative,"      भनेपछि संघियता चाहिएको प्रशासन चलाउन, शासक हुन होइछ होइन त इच्छाशक्ति भए केन्द्रकै प्रशासन, पुलिस, सहयोग मै धेरै कुरा गर्न सकिन्छ के गर्नी ""नाच्न नजान्ने आगन टेडो"" भनेझै  केन्द्रलाई सधै गालि गर्यो, सराप्यो, आफ्नो अकर्मन्यता ढाक्यो बस्यो "
negative, शन्खमुल चोकबाट कोटेश्वर जानेबाटोको अर्को चोकमा  माथी तारमा आगोको झिल्का बड्दै छ
positive, आशा गरौं यो एकता नेपाली राजनीतिमा अझै पनि योगदान अपेक्षा गरिएका बाबुराम भट्टराईको  को राजनीतिक यात्रा र देश विका…
positive,   सुचनाको लागि धन्यवाद 
negative,  आफ्नै कट्टु फुकालेर हाँस्न लाज लाग्दैन
positive,    सुचनाको लागि धन्यवाद 
neutral, संघीय समाजवादी फोरम र नयाँ शक्ति पार्टीबीच एकीकरणको सहमति 
neutral,
positive,  आफूले श्रम गरीगरी अरुलाई पनि श्रम गर्न उत्प्रेरित गर्ने महान श्रमिक 😜
positive,तिमी यही समाजका हुन तिम्रो मृत्यु नि यसै बिषमा हुनेछ
negative,यो चिट्ठी  अनुसार के नेपालभरिका यस्ता शिक्षकहरुको जागिर जाने हो त
negative,"सकारले संसद र जनतालाई ढाँट्यो कि, राष्ट्रपतिले देश र जनतालाई हेपिन्"
positive,"   देशको राष्ट्रपतीलाई त यस्तो भाषा प्रयोग गर्छन्, गाउँका अनपढ, गरिब, अझै कथित तल्लो जातका भनिने एकल महिलाहरूको अवस्था कस्तो होला"
positive,"  स्रोतको गोपनीयता राखे भैगो त, सूचनाको पनि गोपनीयता राख्न पर्ला र"
neutral,तमसोमा ज्योतिर्गमय   
positive,समाचार आएथ्यो है अल्लि अगाडी
positive," ललिता निवासको जग्गामा छानविन होस्, म दण्ड स्वीकार्न तयार छु : बाबुराम भट्टराई     :…"
negative," प्रिय रबिन्द्र, पहिलो कुरा यो सरकारले बनाएको नीति कार्यक्रम हो,राष्ट्रपतिले पढिदिएको मात्र होदोस्रो कुरा धेरै देशका राष्ट्रप्रमुखले ‘मेरो सरकार’ भन्दै आएको चलन छजे मा पनि बिरोध"
neutral, फेरि तपाईहरूको एउटा सटर मा खोलेको  दोकान होईन सिदै ठुलो सूपर मार्केट हो  भनेको हो क्या हो सानो तिनो च्याँखे नथाप्नी भनेको हो क्या हो अव चाहिँ पछाडि को  सिट वाट अगाडि स्थानान्तर पनि होला
negative, राष्ट्रका  अती बिशिष्ट व्यक्तिहरूको  यात्रा जमिन‌ बाट बन्द गर सरकार बरू अरबौँ खर्च गरेर भएपनि हेलिकप्टर सवार व्यवस्था गर सर…
negative," ""निन्द्रा नै लागेन, गहिरो सोच्न पर्ने बाध्यतामा परे"""
positive,  हाहा
neutral,     वैदेशिक रोजगारको सुखदु:खबारे साझा सवाल
negative,  कांग्रेसले त्यो हैसियत पनि कायम गर्न सकेन बरै
positive, कति न मैले भनेको भए मेरो बिहे सगै एकै दिन आफुले बिहे गर्ने जस्तो कुरा 😂😂😂😂😂😂😂
negative, सडकमा खाल्डो पानिको हाहाकार भारतमा पनि छ तर भारत मंगलग्रहमा पुगि सक्यो त्यहाका  प्रधानमन्त्री आफ्नै देशमा पन्डुबि बनाउने सपना देख्छन हाम्रामा रेल ल्याउने सपना देख्दा मजाक बन्छ सोच हाम्रो नै खतम छ र त नेताले खाल्डो पुरेर बिकास गरे भन्दै झुलाउछन हामिलाइ
neutral,  प्रत्येक हामी नेपालीले गर्व साथ मेरो सरकार भन्न सकी रहेका छ/छैनौ (
positive, यो ठाम नै यस्तै रैच दाजु अनावश्यक बहस ज्ञानगुन का कुरा गर्यो बस्यो😂
negative,अतकुतर्क गर्न कृपया चरणदासहरू नआइदिनुहोला
positive," पुस्तक च्यातिएपछी ग्लुस्टिकले टाँसेर काम चलाए,जस्तो हुदैन,संम्बन्ध धेरै जतन र प्रेमको आवश्यकता पर्दछडियर 😍"
negative," श्री ५ को सरकार हुँदा पो राजाले ""मेरो सरकार"" भन्थेत्यसको नक्कल गरेर राष्टपतिले नेपाल सरकारलाई ""मेरो सरकार"" भनेको सुहाएन…"
negative,कस्ताे रङकाे भन्दा कालाे या सेताे भन्न नसक्नु अाजकाे दुःख हाे प्रमका अन्य बगली विज्ञहरूलाइ पनि सुझाव दिनुहाेला
negative,ढल फुटेर बाहिर निस्किएको छ 
negative,न म उनलाई देख्न सक्छु न उनीसँग बोल्न  
positive,"                   धेरै धेरै धन्यवाद, हजुर साथै अविरल सम्झना💞🙏🙋‍♂️🤗"
positive,देश भन्दा ठुलो केहि छैन 
positive,   धेरै राम्रो काम राम्रो काम को सुरुवात भै सकेको छ हामी सबै को साथ छ🇳🇵
positive,  राजतन्त्रको झझल्को आउने गरि मेरो सरकारले भन्नुको सट्टा जनताको सरकारले वा राज्यले भनि संवोधन हुने गरि राष्ट्रपतिलाई सरकारको निति तथा कार्यक्रम वाचन गराउदा के विग्रने रहेछ राष्ट्रपतिको मेरो सरकारलाई भन्ने संवोधनलाई नेपाल सरकारले सच्च्याउनै पर्छ 
positive,जय होस
positive, सांसदहरूले नेपालको जस्तो हुनुपर्ने त्यस्तै र तर्क सहित यो कामयावि छ भनेका भए खुसीको कुरा हुने थियो
positive,"तर आँशु दुखको होस या खुशी को आएमा मन हलुको हुन्छ,र स्वयं…"
positive," कर्मचारी, एनजीओकर्मी, दल चाहार्ने नेता, कलाकार थुपारेर दल नबन्ने रैछ भन्नेकुरो  ले बल्ल बुझे"
positive,सक्नुहुन्छभने बिप्लप दाईसंग पनी एकता गर्नुहोस
positive, बन्दैछ नि कता सेलाउनु अबको केही सालमा सकिन्छ फास्ट्राक
neutral,
negative, अकुत सम्पत्ति कमाउनेहरूको बिजनेस निकै फस्टाएको छ नेपालमा 
positive, ग'न दाइ  देश दुनियाँ घुमेर रितिथिति परम्परा मर्यादा सिक्नु भयाे हाेला भनेकाे त उहीँ त्रिचन्द्र शैलीबाट माथि उठ…
negative," यो के के देख्न सुन्न पर्या छ, नेपाल सरकार"
positive,तपाईंलाई सुभकामना 
positive,"   जय होस , जस्तो शिर्षक उस्तै प्रस्तुति , नेपाली युवा बैज्ञानिकहरुको पनि अन्तरबार्ता आउन सकोस"
neutral,अहिलेका नेपालका पार्टी -   जस्तै भएके 
neutral,अहिलेको समय सार्बजनिक जगगाको हो 
positive,"  अँ सरकार प्रमुख भए चै मेरो सरकार भनेको सरकार उसको नीजी नै हो, राष्ट्र प्रमुखले भए चै  त उसको नीजी हैननी हैभारतिय गणतन्त्रमा पनि राष्ट्रपति सरकार प्रमुख हैनन,ति पनि बेबकुफ रहेछन"
neutral,यो पूरा गर्न हामीले के गर्नुपर्छ
neutral, यता हेर्नुस त तिम्रा मुन्त्रलाय कतिको जिम्मेवार छनयसलाई शिशुकक्षे मा भर्ना गरियोस
positive,नयाँ शक्ति को उदघाटन पनि कमि कहाँ  थियोे र
negative,"  नेताहरुकाे नजरमा साेझासाझा नेपालिकाे  अस्तित्व भुसुना बराबर पनि छैनदेशका    काे  मा भुसुनाहरुकाे वकालत गर्ने तपाईं समाजवादि बिराेधि षडयन्त्रकारि हाे कि कसाेमहान  अभियानमा लाग्दा भुसुनाहरु मर्छन,फेरिपनि नयाँ भुसुनाहरु मर्लान,मर्न जाे तयार छन,बिचराहरु."
positive, सत्य बलियो साथी हो एक्लो हुँदापनी डर लाग्दैन
positive,दोकान खोलेपछि नाफा नोक्सानको…
neutral, याे मेन्सन विहान : मा गरिएकाे हाे 😂
positive,"    हामी न मन्त्रि बन्ने हो न प्रधानमन्त्री छिटो भारतीय बनेर सस्तोमा खान लाउन, सस्तोमा गाडी चढ्न पाइयोस जयहिन्द "
negative,पटक पटक रास्ट्रपति किन बिबाद मा
negative, खाडी तिर राडी तिर
positive,
negative,"   लौ न  सर , रेल बहसको सन्दर्भमा नेपाली नागरिकको हैसियतले सूचनाकोहक…"
negative, काे पाेइलावादी चरित्रमाथि  ले कुरिकुरी गरेकाे देखियाे 
negative, संस्कारको दुःख छप्रतिपक्षी सांसद रेकर्डमै नभएको योजना ठेक्का लगाउँदा ‘कति अर्व भ्रष्टाचार गर्नुहुन्छ’ भनेर दाह्रा किट्छ…
negative,  दाजु यो के सुन्नु पर्या हेर्नू न तपकिहरुको सरकारमा भएको काम यहि सरकारले श्रेय लिदैछजाने हैन माइतीघर😅
negative, रोड प्रोजेक्ट चालु गर्दैछ जसले उसको पालामा होइन चिनलाइ पछि पचासौं साल सयौं साल पछि मात्र नम्बर वन बनाउने छ हो एक देश प्रमुखमा यस्तो भिजन हुन पर्छ बाकि खाल्डो पुर्ने कुलो बनाउने कयौं निकाय छन यो देशमा
negative," साम्यवाद सम्भव छैन, एकीकृत पार्टीको लक्ष्य समाजवादः डा. भट्टराई"
positive,अन्त्यमा लिन्क टुइटमा सतप्रतिशत सहमती …
