label,sentence
positive,कोरोनाबाट संक्रमित हुनु भएका डा गोविन्द केसीको शीघ्र स्वास्थ्यलाभको कामना गर्दछुउहाँको उपचारको सम्पूर्ण खर्च सरकारले ब्योहोर्ने समेत जानकारी गराउँदछु
positive,आफैंले शिलान्यास गरेको तीन बर्षपछि मनमोहन सेन्टर एनेक्स भवन उद्घाटन गर्न पाउँदा खुशी लागेको छ सम्बद्ध सबैमा हार्दिक बधाई तथा शुभकामना
positive,बधाई तथा शुभकामना
positive,महामारीले सिर्जना गरेको सीमाभित्र रहेर तीज पर्व मनाउन र आआफ्नाे जीवन रक्षालाई उच्च महत्त्व  दिन म सबैमा विशेष अनुराेध गर्दछु  तीजको हार्दिक शुभकामना
positive,शोकको यस क्षणमा म उहाँप्रति उच्च सम्मान र श्रद्धाञ्जलि व्यक्त गर्दछु  साथै शाेक सन्तप्त परिवार र आफन्तजनमा गहिराे समवेदना व्यक्त गर्दछु
positive,मुस्लिम समुदायको महान पर्व इद उल अजहा बकर इदका अवसरमा नेपाली मुसलमान दिदीवहिनी तथा दाजुभाइमा सुख  शान्ति  सुस्वास्थ्यको हार्दिक शुभकामना व्यक्त गर्दछु
negative,पुराना वामपन्थी नेता तथा २०४८ सालकाे  आम निर्वाचनमा राेल्पाबाट प्रतिनिधिसभा सदस्य निर्वाचित बर्मन बुढा मगरकाे ९० बर्षकाे उमेरमा निधन भएकाेमा  म दुखी भएकाे छु
positive,बैठकमा  सहभागी विज्ञहरूले दिनुभएका सुझावहरूप्रति धन्यवाद भन्न चाहन्छु  यस किसिमकाे बैठक आवश्कता अनुसार फेरि पनि हुने जानकारी गराउन चाहन्छु
positive,आज मैले इजरायलका प्रधानमन्त्रीसँग टेलिफाेन संवाद गरें त्यस अवसरमा नेपालइजरायल दाैत्य सम्बन्धकाे ६०औ बर्षगाँठकाे शुभकामना आदानप्रदान भयो
neutral,यस महामारीबाट अरू मानवीय क्षति रोक्न सरकारले जारी प्रयासलाई थप सशक्त बनाउने छ
neutral,नर्सेज दिवस
neutral,कोभिड१९ महामारी विरूद्धको युद्धमाअग्रीम मोर्चामा रही सेवा प्रदान गर्नुहुनेसम्पूर्ण नर्सहरूमा विश्व नर्सिङ दिवसको हार्दिक शुभकामना
neutral,सरकारको यस आह्वानलाई सफल पार्न सक्रिय सबै दिदीबहिनी तथा दाजुभाइलाई हार्दिक धन्यवाद ज्ञापन गर्दछु
positive,आदिवासी किरात समुदायको पवित्र उभौली पर्वको अवसरमा स्वदेश तथा विदेशमा रहनु भएका सम्पूर्ण दिदीबहिनी तथा दाजुभाइमा हार्दिक शुभकामना व्यक्त गर्दछु
positive,मानव जातिको मुक्तिका लागि यस युगका चिन्तक दार्शनिक तथा महानायक कार्ल मार्क्सको २०२ औं जन्मजयन्तीका अवसरमा उहाँप्रति हार्दिक श्रद्धासुमन अर्पण गर्दछु
positive,अन्तर्राष्ट्रिय श्रमिक दिवस मे दिवस २०२० को सबैमा हार्दिक शुभकामना
positive,नयाँ वर्ष २०७७ को शुभकामना सन्देश
neutral,बन्दबन्दीमानेपाल
positive,आज बिहान भारतीय प्रधानमन्त्री  श्री नरेन्द्र मोदीजीसँग मेरो फोन वार्ता भयो हामीले नयॉ बर्ष २०२० को शुभकामना आदानप्रदान गर्यौं
neutral,मेरो स्वास्थ्य अवस्थाको बारे जानकारी
positive,धेरै धेरै धन्यवाद
positive,बंगलादेशको ढाकामा सम्पन्न प्रथम एसियन सेन्ट्रल जोन महिला भलिबल च्याम्पियनसिपको उपाधि विजेता बन्न सफल भएकोमा नेपाली महिला भलिबल टिमलाई हार्दिक बधाई ज्ञापन गर्दछु
neutral,नेपाल संवत् ११४०न्हूदँया भिन्तुना
positive,देश भित्र र बाहिर रहनु भएका सम्पूर्ण नेपाली दिदीबहिनी तथा दाजुभाइहरुमा तिहार २०७६ को हार्दिक मंगलमय शुभकामना
positive,महामहिम राष्ट्रपति सी चिनफिङलाई नेपालमा हार्दिक स्वागत छ   
positive,देश भित्र र बाहिर रहनु भएका सम्पूर्ण नेपाली दिदीबहिनी तथा दाजुभाइहरुमा वडा दशैं २०७६ को हार्दिक शुभकामना
positive,आगामी आवश्यकतालाई ध्यानमा राखेर आधुनिक प्रविधि सम्पन्न प्रधानमन्त्री निवास निर्माण गर्दै छौँ   नयाँ भवन शिलान्यास गर्न पाउँदा खुसी लागेको छ
positive,आज सिंहदरबार परिसरमा संघीय संसद भवन शिलान्यास गर्न पाउँदा ख़ुशी लागेको छ कबोल गरिएको लागतमा तोकिएको समय भित्रै निर्माण कार्य सम्पन्न हुने आसा गरेको छु
neutral,भारत–नेपाल मित्रताको विशेष दिन मेरा मित्र प्रधानमन्त्री ओली र मैले संयुक्त रुपमा भारतको मोतिहारीदेखि नेपालको अमलेखगञ्…
positive,प्रगतिको फल मित्र राष्ट्रहरुसँग बाँड्दै मोतिहारी–अमलेखगञ्ज पाइपलाइनले नेपालका जनतालाई सुलभ मूल्यमा अझैं सफा पेट्रोलियम…
positive,सबका साथ सबका का विकास सवका विश्वास     समृद्ध नेपाल सुखी नेपाली      
positive,नेपाली महिलाहरुको महान पर्व हरितालिका तीजको अवसरमा स्वदेश तथा विदेशमा रहनु भएका दिदीबहिनीहरुमा सुख शान्ति समृद्धि सुस्वास्थ्य र दीर्घायुको हार्दिक शुभकामना
positive,२०७६ सालको ईद–उल– अज्हा बकर ईद को शुभ अवसरमा सम्पूर्ण मुस्लिम दिदी बहिनी तथा दाजुभाइहरुमा हार्दिक शुभकामना व्यक्त गर्दछु  बकर ईद मुबारक
positive,ज्ञानका स्रोतहरूको संरक्षण र सदुपयोग गर्न सबैलाई सफलता मिलोस्  गुरु पूर्णिमाको पावन अवसरमा सबैमा हार्दिक शुभकामना
positive,वरिष्ठ संस्कृतिविद् सत्यमोहन जोशीलाई शतवार्षिक जन्मोत्सवका अवसरमा हार्दिक शुभकामना व्यक्त गर्दछु उहाँको सुस्वास्थ्य दीर्घ जीवन र आरोग्यको कामना गर्दछु
positive,पन्ध्रौं पन्चवर्षीय योजनाको अन्त्यसम्ममा कुनै पनि बालबालिका विद्यालयबाहिर रहने छैनन् नेपाल जस्तो देशमा भोकमरी रहने छैन हामीले त्यसरी काम गर्दैछौं
negative,हालसम्म २५ जनाको ज्यान गएको र करीब ४०० घाईते भएको जानकारीमा आएकोछ मृत्युबरण गर्नेहरूप्रति शोकव्यक्त गर्दछु र शोकाकुल परिवारजनमा गहिरो समवेदना प्रकट गर्दछु
positive,तेस्रो एसियन युथ एथ्लेटिक्स च्याम्पियनसिपमा नेपाललाई गौरवपूर्ण स्वर्ण पदक दिलाउन सफल हुनुभएकाअजितकुमार यादवमा हार्दिक वधाई ज्ञापन गर्दछु
negative,भीमफेदीबाट गाडी बोकेर काठमाडौं ल्याउने वृद्धको निधन
negative,भ्रष्टाचार सबैको शत्रु हो भ्रष्टहरूको पनि शत्रु हो अब नेपालमा विकास नहुनुको कारण भ्रष्टाचार मात्रै हो २८औस्थापनादिवस अदुआ
neutral,चन्द्रगढी विमानस्थल भद्रपुर झापामा आज बाट रात्रीकालीन हवाई सेवा सम्माननिय प्रधानमन्त्री ज्युको उडान सगै सुरु भएको छ धनगढी…
positive,विश्व मानवअधिकार दिवसका अवसरमा हार्दिक शुभकामना
positive,रोजगारीमा रहेका वा रोजगारी गुमाएका वा रोजगारी नभएका सवै नागरिकको भविश्य सुरक्षित गर्ने प्रणालीको थालनी हामी आजैबाट गर्दैछौं
positive,छठ पर्वको हार्दिक मंगलमय शुभकामना
neutral,न्हूदया भिन्तुना ११३९
positive,तिहारको शुभ उपलक्ष्यमा सबैमा हार्दिक शुभकामना
positive,वडा दशैं २०७५ का अवसरमा सबैमा हार्दिक मंगलमय शुभकामना
positive,२८औं अन्तराष्ट्रिय जेष्ठ नागरिक दिवसका अबसरमा स्वदेश तथा विदेशमा रहनु भएका सम्पूर्ण नेपाली ज्येष्ठ नागरिकप्रति सुस्वस्थ्य र दिर्घायुको शुभकामना व्यक्त गर्दछु
positive,प्राचीन कालदेखि काठमाडौं उपत्यकामा मनाईंदै आएको इन्द्रजात्राका अवसरमा उपत्यकावासी समस्त दिदीबहिनी तथा दाजुभाइमा हार्दिक शुभकामना व्यक्त गर्दछु
neutral,नेपालको लोकतान्त्रिक आन्दोलनकी प्रेरणादायी व्यक्तित्व आदरणीय सहाना प्रधानको चौथो स्मृति दिवसका अवसरामा वहाँप्रति हार्दिक श्रद्धासुमन अर्पण गर्दछु
neutral,संविधान दिवसला चु ज्यावा रे कुुनु जोङ नाङरी थेन स्यान जोङरी दान्छ्याबा मोक्कोन नेपाली ज्योजो आले नाना आङादा  ङाला स्हेमनाङ्ला ज्याबा डान्बा थेन डेनमुला
positive,नेपाली महिलाहरुको महान चाड हरितालिका तीजको अवसरमा स्वदेश तथा विदेशमा रहनु भएका समस्त दिदीबहिनीहरुमा आरोग्य सुख शान्ति र समृद्धिको हार्दिक शुभकामना व्यक्त गर्दछु
positive,यस्ता उच्चस्तरीय कार्यक्रममा समेत आवागमन प्रभावित नहुनेगरी दीर्घकालीन भौतिक पूर्वाधार निर्माणमा सरकारले ध्यान दिनेछ
positive,बिम्स्टेक सम्मेलनमा पाल्नु भएका मित्रराष्ट्रका रााष्ट्र तथा सरकार प्रमुखहरुलाई न्यानो स्वागत गर्न पाउँदा खुशी लागेको छ
neutral,बंगलादेशका प्रधानमन्त्री महामहिम शेख हसिनासँग दुईपक्षीय हितका विषयमा छलफल भएको छ  आगामी दिनमा नेपालबंगलादेश सम्बन्ध अझ प्रगाढ हुँदै जाने विश्वास अभिवृद्धि भएको छ
positive,जकार्तामा आयोजित १८ औं एसियाडमा रजत पदक जित्न सफल नेपाली प्याराग्लाइडिंग  टिमलाई हार्दिक वधाई ज्ञापन गर्दछु
positive,मुस्लिम समुदायको महान पर्व इद उल अजहा बकर इदका अवसरमा नेपाली मुसलमान दिदीवहिनी तथा दाजुभाइप्रति हार्दिक शुभकामना व्यक्त गर्दछु
negative,चुुराङबा ग्रेनसारी राप्सीमाम ह्याङसे तिबा घे ज्यानालासी म्राङनालासी फ्युक्पो ह्युलसा नेपाल सेङबा ग्रेन घेता थुुम्ना लासेला मुला
positive,राजनीतिलाई दाउपेचजीतहारको बिषय होइन राष्ट्र निर्माणको माध्यम बनाउनु पर्दछ त्यसैले अब संघर्ष होइन विकासमा सहकार्य गरौं
